label,text
0,질병관리청입니다. 독감 예방접종 안내드립니다. 가까운 병의원을 방문하세요
0,집 청소 좀 해줘. 손님 오는 날이야
0,집에 언제 와? 저녁 같이 먹자
1,"카드 결제 승인 내역: 해외 결제 1,230달러 승인. 본인이 아니면 즉시 신고: http://cutt.ly/card-fraud"
1,스마트폰 바이러스 감지! 즉시 아래 앱으로 치료하세요: http://goo.gl/virus-fix
0,배민입니다. 주문하신 음식이 조리 중입니다. 약 20분 후 도착 예정
0,생일 축하해! 선물 뭐 받았어?
0,필기 좀 빌려줄 수 있어?
0,방금 도착했어
0,[카카오] 로그인 인증번호: 938271 (10분 내 입력)
0,방과후 수업 신청했어?
0,"[국민은행] 출금 100,000원 잔액 2,340,500원 (홍*동)"
1,법원 출석 요구서. 불출석 시 구인장 발부. 즉시 확인: http://bit.ly/court-notice
0,내일 꼭 와야 해?
0,오늘 너무 피곤하다
1,[신한은행] 비정상 로그인이 감지되었습니다. 지금 바로 확인하지 않으면 계좌가 동결됩니다: http://tinyurl.com/sh-check
1,[SKT] 요금 미납으로 번호가 정지됩니다. 즉시 납부하세요: http://bit.ly/skt-payment
0,프로젝트 중간 발표 일정 공지합니다
0,출장 일정 변경되어 안내드립니다. 수요일 대신 목요일입니다
1,[삼성생명] 보험금 미수령 안내. 오늘까지 청구하지 않으면 소멸: http://bit.ly/samsung-life
0,무신사 입니다. 위시리스트 상품 가격이 내려갔습니다
0,우체국입니다. 등기 우편물이 도착했습니다. 가까운 우체국에서 수령하세요
0,안녕! 오늘 저녁 뭐 먹을래? 치킨 어때?
0,G마켓입니다. 구매하신 상품 리뷰를 작성해 주시면 포인트를 드립니다
1,[보안 알림] 악성코드가 감지되었습니다. 즉시 백신 앱을 설치하세요: http://bit.ly/antivirus-install
1,[고용노동부] 실업급여 추가 지급 안내. 오늘까지 신청하세요: http://is.gd/mol-benefit
1,축하합니다! 고객님이 경품 당첨되셨습니다. 24시간 내 수령하세요: http://bit.ly/winner-prize
1,귀하는 설문 참여자 중 특별 선발되어 아이폰 15 당첨! 즉시 수령: http://bit.ly/iphone-winner
0,잘 자!
1,주민등록번호 도용 피해. 즉시 본인 확인 필수. 계좌번호와 비밀번호로 본인 인증 요청
0,올리브영 앱 알림: 장바구니 상품 재고가 얼마 남지 않았습니다
1,소상공인 지원금 추가 지급. 오늘까지 신청 시 즉시 입금: http://tinyurl.com/small-biz-support
0,요즘 어때? 연락이 없어서 걱정했어
1,[검찰청] 귀하를 금융사기 공범으로 입건 예정입니다. 즉시 소환에 응하세요: http://tinyurl.com/prosecution
1,계좌에서 출금이 시도되었습니다. 본인 확인 후 즉시 차단하세요. 주민번호 입력 필요: http://bit.ly/block-now
0,[SK텔레콤] 이번달 데이터 사용량이 80%를 초과했습니다. 남은 데이터: 2.1GB
0,급식 오늘 뭐 나왔어?
1,[이벤트] 고객님이 특별 선발되었습니다. 스타벅스 상품권 5만원 지금 수령: http://goo.gl/gift-card
1,고객님 핸드폰이 해킹되었습니다. 즉시 아래 앱을 설치해 차단하세요: http://tinyurl.com/hack-protect
1,[쿠팡이츠] 주문 취소로 환불금 발생. 즉시 계좌로 수령: http://tinyurl.com/coupang-refund
1,블랙리스트도 가능한 긴급 대출. 담보 없이 즉시 300만원: http://cutt.ly/emergency-loan
0,서울시 안전안내문자: 오늘 오후 미세먼지 농도가 높겠습니다. 외출 시 마스크를 착용하세요
1,[카카오뱅크] 계좌이체 한도 초과로 거래가 제한됩니다. 즉시 인증하세요: http://cutt.ly/kb-verify
1,"고객님, 오늘까지 건강검진 미수진자 과태료 부과 예정. 즉시 신청: http://cutt.ly/health-check"
0,[Web발신] 인증번호는 [123456]입니다. 타인에게 절대 알려주지 마세요
1,고객님 대출 연체로 신용불량 등록 예정. 즉시 연락 주세요. 카드번호와 생년월일 확인 필요
1,[우리은행] 고객님 대출 승인이 완료되었습니다. 24시간 내 수령하지 않으면 취소됩니다: http://bit.ly/wbk-loan
1,경찰입니다. 귀하 명의로 불법 대출이 발생했습니다. 계좌 동결 전에 즉시 연락 바랍니다
1,[하나은행] 고객님 카드가 부정사용 의심으로 정지되었습니다. 본인확인 필수: http://is.gd/hana-card
1,긴급!! 명의도용 피해 발생. 즉시 아래 번호로 전화하세요 또는 개인정보 도용 신고 접수: 070-XXXX-XXXX
0,수고했어 오늘도
0,기상청입니다. 내일 오전부터 전국에 비가 올 예정입니다
1,"[건강보험공단] 환급금 158,000원 발생. 즉시 신청하지 않으면 소멸됩니다: http://goo.gl/nhis-money"
1,당신의 카톡이 모니터링되고 있습니다. 즉시 보안 앱 설치 필요: http://goo.gl/chat-secure
0,오늘 야근 예정입니다. 먼저 퇴근하세요
1,[업데이트 알림] 카카오톡 보안 업데이트가 필요합니다. 지금 설치: http://bit.ly/kakao-update
1,[금융감독원] 불법 계좌 사용으로 제재 예정입니다. 지금 바로 해명하세요: http://bit.ly/fss-notice
0,오늘 학교 일찍 끝난다고 하던데 맞아?
0,지금 밥 먹는 중이야
0,주말에 같이 영화 보러 갈래? 신작 나왔던데
0,보고서 초안 검토 부탁드립니다. 이메일로 보냈습니다
0,오늘 운동 했어? 나 헬스장 등록했어
1,교통법규 위반 과태료 고지서. 납부하지 않으면 면허 정지: http://goo.gl/traffic-fine
1,[우체국택배] 고객님 소포가 주소 불명으로 반송됩니다. 즉시 확인: http://goo.gl/post-parcel
1,[현대카드] 카드 비밀번호 오류 5회 초과로 카드가 정지됩니다. 지금 바로 해제하세요: http://tinyurl.com/hc-pin
1,신용불량자도 OK! 무직자 당일 대출 500만원. 지금 신청: http://bit.ly/loan-now
0,학원 몇 시에 끝나?
0,ㅋㅋ 알겠어
1,아들아 나야. 지금 경찰서에 있는데 합의금이 필요해. 이 계좌로 빨리 보내줘
0,"아들, 오늘 밥은 먹었어? 걱정돼서"
0,나 5분만 늦을 것 같아
0,오늘 수업 자료 공유해 드릴게요
0,네이버입니다. 비밀번호 변경이 완료되었습니다. 본인이 하지 않았다면 고객센터로 문의하세요
0,엄마야. 오늘 늦게 들어와. 저녁 먼저 먹어
0,첨부 파일 확인 후 의견 주세요
0,점심 뭐 먹었어? 나 오늘 파스타 먹었어
0,주말 일정 있어? 등산 가려고 하는데
0,방금 새로운 카페 발견했는데 같이 가볼래?
1,공인인증서 비밀번호를 입력하면 대출 한도가 즉시 상향됩니다: http://bit.ly/cert-upgrade
0,회식은 금요일 저녁 6시 회사 근처 식당으로 정했습니다
0,오늘 체육대회야. 운동화 신고 와
1,[쿠팡] 주문하신 상품 배송 문제 발생. 지금 확인하세요: http://bit.ly/coupang-check
1,해외직구 통관 보류. 관세 납부 후 수령 가능. 카드정보 입력: http://bit.ly/customs-pay
1,엄마야. 핸드폰 고장났어. 친구한테 급히 돈 보내야 하는데 계좌번호 알려줄게
0,내일 날씨 춥대. 따뜻하게 입어
0,숙제 다 했어? 내일까지야
1,저금리 정부지원 대출 안내. 오늘만 특별 금리 적용. 지금 신청: http://bit.ly/gov-loan
0,자습실 자리 맡아줄 수 있어?
1,[KB국민카드] 포인트 소멸 예정! 즉시 환급 신청하세요: http://bit.ly/kbcard-point
0,국민건강보험공단입니다. 연간 건강검진 대상자 안내 드립니다. 자세한 사항은 공식 홈페이지를 이용해 주세요
1,[경찰청] 귀하의 명의가 범죄에 사용되었습니다. 즉시 연락 바랍니다: http://bit.ly/police-cyber
1,네이버 계정이 다른 기기에서 로그인되었습니다. 본인이 아니면 즉시 차단: http://bit.ly/naver-security
1,정부 긴급재난지원금 2차 신청 안내. 오늘까지만 신청 가능: http://goo.gl/emergency-support
1,[IBK기업은행] 고객님의 공인인증서가 만료되었습니다. 지금 갱신하세요: http://bit.ly/ibk-cert
1,고객님 마일리지 포인트 소멸 예정. 즉시 환급 신청하세요: http://tinyurl.com/miles-expire
0,택배 왔어? 오늘 집에 있어?
1,[현대해상] 자동차보험 환급금 발생. 오늘 신청하면 즉시 지급: http://cutt.ly/hyundai-ins
1,"나야, 폰 망가져서 번호 바꿨어. 급하게 5만원만 빌려줄 수 있어? 이 번호로 카카오페이 보내줘"
1,[신한카드] 카드 연회비 환급 신청 가능합니다. 24시간 한정: http://cutt.ly/shinhan-refund
1,계좌정지 위기! 즉시 본인확인 하지 않으면 법적 조치가 취해집니다. 1588-XXXX로 전화 바람
1,[롯데카드] 부정사용 의심 거래가 발생했습니다. 즉시 본인확인이 필요합니다: http://is.gd/lotte-fraud
1,"[국세청] 세금 환급금 327,000원이 미수령 상태입니다. 오늘까지 신청하세요: http://bit.ly/nts-refund"
0,쿠팡입니다. 주문하신 상품이 출고되었습니다. 내일 오전 배송 예정입니다
0,할머니 생신이 다음 주야. 시간 돼?
1,본인확인을 위해 생년월일과 계좌번호를 입력해 주세요: http://is.gd/identity-check
1,[국민연금공단] 연금 환급금 안내. 미신청시 자동 소멸됩니다: http://cutt.ly/nps-refund
0,좀 있다가 연락해
1,[교보생명] 고객님 사망보험금 수령 가능합니다. 즉시 신청: http://is.gd/kyobo-claim
1,⚠️ 보안 경고: 고객님 카드정보가 유출되었습니다. 즉시 카드를 정지하세요: http://tinyurl.com/card-stop
0,어디야?
1,[CJ대한통운] 택배 미수령으로 반송 처리 예정입니다. 지금 바로 주소를 확인하세요: http://bit.ly/cj-delivery
0,응응! 거기서 봐
0,내일 전체 회의 있습니다. 9시까지 참석 바랍니다
1,[국민은행] 고객님의 계좌가 일시 정지되었습니다. 즉시 본인확인 후 해제하세요: http://bit.ly/kb-auth
0,내일 병원 같이 가줄 수 있어? 검사 있어서
0,국민재난안전포털: 태풍 예비 특보 발령 안내입니다
0,오늘 야자 해?
0,내일 회의 몇 시야? 자료 준비해야 할 것 같아서
0,시험 범위 어디까지야?
0,내일 비 온대. 우산 챙겨
1,【긴급】 고객님 계좌에서 300만원 출금 시도가 감지되었습니다. 본인이 아니면 즉시 클릭: http://bit.ly/stop-transfer
1,인스타그램 계정 도용 위험! 즉시 비밀번호를 변경하세요: http://is.gd/insta-protect
0,내일 오전 10시에 회의실 A로 모여주세요
0,다음 주에 시험이야. 같이 공부할래?
0,다음 주 월요일까지 제출해 주시면 됩니다
1,안녕하세요. 보안 업데이트로 인해 주민등록번호와 카드번호를 재확인해야 합니다: http://bit.ly/secure-update
1,스팸 차단 서비스 갱신 필요. 즉시 개인정보를 확인하세요. 주민번호 입력: http://bit.ly/spam-block
0,오늘 동아리 있어?
1,코로나 손실보상금 미수령 안내. 즉시 신청하지 않으면 소멸: http://bit.ly/covid-refund
1,[중요] 고객님의 개인정보가 다크웹에 유출되었습니다. 즉시 확인: http://is.gd/darkweb-check
1,[한진택배] 통관 절차 중 추가 비용 발생. 즉시 납부하지 않으면 폐기됩니다: http://tinyurl.com/hanjin
1,[씨티은행] 해외 비정상 거래가 탐지되었습니다. 즉시 카드를 정지해 주세요: http://ow.ly/citi-block
1,[삼성카드] 고객님 카드 한도 초과! 즉시 확인하지 않으면 법적 조치가 취해집니다: http://bit.ly/sc-limit
0,토스입니다. 오늘 오후 2시 시스템 점검이 예정되어 있습니다 (10분 내외)
1,[로젠택배] 배송 주소 오류로 물품이 보관 중입니다. 오늘 수령하지 않으면 반송: http://bit.ly/logen
1,카드 재발급을 위해 비밀번호와 CVC 번호를 입력해 주세요: http://tinyurl.com/card-reissue
1,은행 거절 후에도 가능! 비대면 즉시 대출. 주민번호만으로 가능: http://is.gd/quick-loan
